preprocess_step,rank,cv_score,feature_selector,selected_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,train_accuracy,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_balanced_precision,train_balanced_recall,train_balanced_specificity,train_accuracy_excelente,train_precision_excelente,train_recall_excelente,train_specificity_excelente,train_accuracy_muito_bom,train_precision_muito_bom,train_recall_muito_bom,train_specificity_muito_bom,model_file
SG_1D+MeanCentering,35,0.6378542510121458,lasso,414,400,14,14,2,0.24347616233798966,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-14_min_samples_leaf-2_max_features-0.24347616233798966_bootstrap-False_rank-035.joblib
SG_1D+MeanCentering,36,0.636459739091318,lasso,414,450,14,16,1,0.30686588518858604,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-16_min_samples_leaf-1_max_features-0.30686588518858604_bootstrap-False_rank-036.joblib
SG_1D+MeanCentering,37,0.6363247863247863,lasso,414,450,15,10,2,0.30227709410190545,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.30227709410190545_bootstrap-False_rank-037.joblib
SG_1D+MeanCentering,38,0.6355600539811067,lasso,414,400,15,10,2,0.3055132224322084,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3055132224322084_bootstrap-False_rank-038.joblib
SG_1D+MeanCentering,39,0.6354700854700854,lasso,414,450,14,10,2,0.3310423031986369,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.3310423031986369_bootstrap-False_rank-039.joblib
SG_1D+MeanCentering,40,0.6342780026990553,lasso,414,450,15,11,2,0.3045494498876355,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.3045494498876355_bootstrap-False_rank-040.joblib
SG_1D+MeanCentering,41,0.6341880341880343,lasso,414,400,14,15,2,0.3450690639977247,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-15_min_samples_leaf-2_max_features-0.3450690639977247_bootstrap-False_rank-041.joblib
SG_1D+MeanCentering,42,0.6335807467386415,lasso,414,350,14,17,1,0.303114286230826,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-17_min_samples_leaf-1_max_features-0.303114286230826_bootstrap-False_rank-042.joblib
SG_1D+MeanCentering,43,0.6333333333333334,lasso,414,450,15,16,2,0.3463570689322117,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-16_min_samples_leaf-2_max_features-0.3463570689322117_bootstrap-False_rank-043.joblib
SG_1D+MeanCentering,44,0.6333333333333333,lasso,414,450,15,16,2,0.3465329219626235,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-16_min_samples_leaf-2_max_features-0.3465329219626235_bootstrap-False_rank-044.joblib
SG_1D+MeanCentering,45,0.6312415654520918,lasso,414,450,15,11,1,0.2062220168052833,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.2062220168052833_bootstrap-False_rank-045.joblib
SG_1D+MeanCentering,46,0.6307692307692307,lasso,414,400,14,14,1,0.2233108937921359,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-14_min_samples_leaf-1_max_features-0.2233108937921359_bootstrap-False_rank-046.joblib
SG_1D+MeanCentering,47,0.6307692307692307,lasso,414,400,15,11,2,0.3006399131583187,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.3006399131583187_bootstrap-False_rank-047.joblib
SG_1D+MeanCentering,48,0.6307692307692307,lasso,414,400,15,10,2,0.32996305871629394,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.32996305871629394_bootstrap-False_rank-048.joblib
SG_1D+MeanCentering,49,0.6307692307692306,lasso,414,450,14,10,2,0.3086019492320425,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.3086019492320425_bootstrap-False_rank-049.joblib
SG_1D+MeanCentering,50,0.62991452991453,lasso,414,350,14,13,1,0.32711438688175143,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-13_min_samples_leaf-1_max_features-0.32711438688175143_bootstrap-False_rank-050.joblib
